level,character,meaning,sound
7,家 ,집,가
7,歌 ,노래,가
6,角 ,뿔,각
6,各 ,각각,각
7,間 ,사이,간
6,感 ,느낄,감
7,江 ,강,강
6,強 ,강할,강
6,開 ,열,개
7,車 ,수레,거/차
6,京 ,서울,경
6,計 ,셀,계
6,界 ,지경,계
6,古 ,예,고
6,高 ,높을,고
6,苦 ,쓸,고
7,工 ,만들,공
7,空 ,빌,공
6,功 ,공적,공
6,共 ,함께,공
6,公 ,공평할,공
6,科 ,과목,과
6,果 ,열매,과
6,光 ,빛,광
8,校,학교,교
8,敎,가르칠,교
6,交 ,사귈,교
8,九,아홉,구
7,口 ,입,구
6,球 ,공,구
6,區 ,구분할,구
8,國,나라,국
8,軍,군사,군
6,郡 ,고을,군
6,根 ,뿌리,근
6,近 ,가까울,근
6,今 ,이제,금
8,金,쇠/성씨,금/김
6,級 ,등급,급
6,急 ,급할,급
7,記 ,기록할,기
7,氣 ,기운,기
7,旗 ,기,기
8,南,남녘,남
7,男 ,사내,남
7,內 ,안,내
8,女 ,여자,녀
8,年 ,해,년
7,農 ,농사,농
6,多 ,많을,다
6,短 ,짧을,단
7,答 ,답할,답
6,堂 ,집,당
8,大 ,큰,대
6,對 ,대할,대
6,代 ,세대/대신할,대
6,待 ,기다릴,대
7,道 ,길,도
6,圖 ,그림,도
6,度 ,"법도,정도/헤아릴",도/탁
6,讀 ,읽을/구절,독/두
8,東 ,동녘,동
7,冬 ,겨울,동
7,動 ,움직일,동
7,同 ,한가지,동
6,童 ,아이,동
7,洞 ,마을/밝을,동/통
6,頭 ,머리,두
7,登 ,오를,등
6,等 ,무리/같을,등
6,樂 ,즐길/음악/좋아할,락/악/요
7,來 ,올,래
7,力 ,힘,력
6,禮 ,예도,례
6,例 ,법식,례
7,老 ,늙을,로
6,路 ,길,로
6,綠 ,푸를,록
8,六 ,여섯,륙
7,里 ,마을,리
6,李 ,오얏,리
6,理 ,다스릴,리
6,利 ,이로울,리
7,林 ,수풀,림
7,立 ,설,립
8,萬 ,일만,만
7,每 ,매양,매
7,面 ,낯,면
7,名 ,이름,명
7,命 ,목숨,명
6,明 ,밝을,명
8,母 ,어미,모
8,木 ,나무,목
6,目 ,눈,목
8,門 ,문,문
7,文 ,글월,문
7,問 ,물을,문
6,聞 ,들을,문
7,物 ,물건,물
6,美 ,아름다울,미
6,米 ,쌀,미
8,民 ,백성,민
6,朴 ,성씨/순박할,박
6,班 ,나눌,반
6,反 ,돌이킬,반
6,半 ,반,반
6,發 ,필,발
7,方 ,모,방
6,放 ,놓을,방
8,白 ,흰,백
7,百 ,일백,백
6,番 ,차례,번
6,別 ,다를,별
6,病 ,병,병
6,服 ,옷,복
6,本 ,근본,본
8,父 ,아비,부
7,夫 ,남편,부
6,部 ,떼,부
8,北 ,북녘/달아날,북/배
6,分 ,나눌,분
7,不 ,아닐,불/부
8,四 ,넉,사
7,事 ,일,사
6,死 ,죽을,사
6,使 ,하여금/부릴,사
6,社 ,모일,사
8,山 ,뫼,산
7,算 ,셈,산
8,三 ,석,삼
7,上 ,위,상
7,色 ,빛,색
8,生 ,날,생
8,西 ,서녘,서
6,書 ,글,서
7,夕 ,저녁,석
6,石 ,돌,석
6,席 ,자리,석
8,先 ,먼저,선
6,線 ,줄,선
6,雪 ,눈,설
7,姓 ,성씨,성
6,成 ,이룰,성
6,省 ,살필/덜,성/생
7,世 ,누리,세
8,小 ,작을,소
7,所 ,바,소
7,少 ,적을,소
6,消 ,사라질,소
6,速 ,빠를,속
6,孫 ,손자,손
8,水 ,물,수
7,手 ,손,수
6,樹 ,나무,수
7,數 ,셈/자주,수/삭
6,術 ,재주,술
6,習 ,익힐,습
6,勝 ,이길,승
7,市 ,시장,시
7,時 ,때,시
6,始 ,비로소,시
7,植 ,심을,식
6,式 ,법,식
7,食 ,밥/먹일,식/사
6,新 ,새,신
6,信 ,믿을,신
6,身 ,몸,신
6,神 ,귀신,신
8,室 ,집,실
6,失 ,잃을,실
7,心 ,마음,심
8,十 ,열,십
7,安 ,편안할,안
6,愛 ,사랑,애
6,野 ,들,야
6,夜 ,밤,야
6,藥 ,약,약
6,弱 ,약할,약
6,洋 ,큰바다,양
6,陽 ,볕,양
7,語 ,말씀,어
6,言 ,말씀,언
6,業 ,일,업
7,然 ,그러할,연
6,永 ,길,영
6,英 ,꽃부리,영
8,五 ,다섯,오
7,午 ,낮,오
6,溫 ,따뜻할,온
8,王 ,임금,왕
8,外 ,바깥,외
6,用 ,쓸,용
6,勇 ,날랠,용
7,右 ,오른,우
6,運 ,옮길/운,운
6,遠 ,멀,원
6,園 ,동산,원
8,月 ,달,월
7,有 ,있을,유
6,由 ,말미암을,유
6,油 ,기름,유
7,育 ,기를,육
6,銀 ,은,은
6,飮 ,마실,음
6,音 ,소리,음
7,邑 ,고을,읍
6,意 ,뜻,의
6,醫 ,의원,의
6,衣 ,옷,의
8,二 ,두,이
8,人 ,사람,인
8,日 ,해,일
8,一 ,한,일
7,入 ,들,입
7,字 ,글자,자
7,自 ,스스로,자
7,子 ,아들,자
6,者 ,놈,자
6,昨 ,어제,작
6,作 ,지을,작
8,長 ,길,장
7,場 ,마당,장
6,章 ,글,장
6,才 ,재주,재
6,在 ,있을,재
7,電 ,번개,전
7,前 ,앞,전
7,全 ,온전할,전
6,戰 ,싸울,전
7,正 ,바를,정
6,庭 ,뜰,정
6,定 ,정할,정
8,弟 ,아우,제
6,第 ,차례,제
6,題 ,제목,제
7,祖 ,할아버지,조
6,朝 ,아침,조
7,足 ,발/족할,족
6,族 ,겨레,족
7,左 ,왼,좌
7,住 ,살,주
7,主 ,주인,주
6,注 ,부을,주
6,晝 ,낮,주
8,中 ,가운데,중
7,重 ,무거울,중
7,紙 ,종이,지
7,地 ,땅,지
