character,meaning,sound
家 ,집,가
歌 ,노래,가
價 ,값,가
可 ,옳을,가
加 ,더할,가
街 ,거리,가
假 ,거짓/빌릴,가
暇 ,겨를,가
佳,아름다울,가
架,시렁,가
角 ,뿔,각
各 ,각각,각
覺 ,깨달을,각
刻 ,새길,각
閣,집,각
脚,다리,각
却,물리칠,각
間 ,사이,간
簡 ,대쪽/간략할,간
看 ,볼,간
干 ,방패/막을,간
肝,간,간
幹,줄기,간
刊,새길,간
懇,간절할,간
姦,간음할,간
渴,목마를,갈
感 ,느낄,감
監 ,볼,감
減 ,덜,감
甘 ,달,감
敢 ,감히,감
鑑,거울,감
甲 ,첫째천간/갑옷,갑
江 ,강,강
強 ,강할,강
康 ,편안할,강
講 ,외울,강
綱,벼리,강
剛,굳셀,강
鋼,강철,강
降 ,내릴/항복할,강/항
開 ,열,개
改 ,고칠,개
個 ,낱,개
蓋,덮을,개
介,낄,개
槪,대개,개
皆,다,개
慨,슬퍼할,개
客 ,손,객
更 ,다시/고칠,갱/경
擧 ,들,거
去 ,갈,거
居 ,살,거
巨 ,클,거
據 ,근거,거
拒 ,막을,거
距,떨어질,거
車 ,수레,거/차
建 ,세울,건
健 ,굳셀,건
件 ,물건,건
乾,하늘/마를,건
傑 ,뛰어날,걸
乞,빌,걸
檢 ,검사할,검
儉 ,검소할,검
劍,칼,검
格 ,격식,격
擊 ,칠,격
激 ,격할,격
隔,사이 뜰,격
犬 ,개,견
堅 ,굳을,견
絹,비단,견
遣,보낼,견
牽,이끌,견
肩,어깨,견
見 ,볼/뵈올,견/현
決 ,결단할,결
結 ,맺을,결
缺 ,이지러질,결
潔 ,깨끗할,결
訣,이별할,결
兼,겸할,겸
謙,겸손할,겸
京 ,서울,경
景 ,볕,경
敬 ,공경할,경
輕 ,가벼울,경
競 ,다툴,경
警 ,경계할,경
經 ,글/지날,경
境 ,지경,경
慶 ,경사,경
鏡 ,거울,경
傾 ,기울,경
驚 ,놀랄,경
徑,지름길,경
硬,굳을,경
耕,밭 갈,경
頃,이랑/잠깐,경
卿,벼슬,경
庚,일곱째천간/별,경
竟,마침내,경
計 ,셀,계
界 ,지경,계
係 ,멜,계
鷄 ,닭,계
系 ,이을,계
階 ,섬돌,계
繼 ,이을,계
季 ,철,계
戒 ,경계할,계
械,기계,계
啓,열,계
桂,계수나무,계
契,맺을,계
溪,시내,계
癸,열째천간/북방,계
繫,맬,계
古 ,예,고
高 ,높을,고
苦 ,쓸,고
考 ,생각,고
告 ,고할,고
固 ,굳을,고
故 ,예,고
庫 ,창고,고
孤 ,외로울,고
稿,볏짚,고
姑,시어미/잠시,고
鼓,북,고
顧,돌아볼,고
枯,마를,고
曲 ,굽을/가락,곡
穀 ,곡식,곡
哭,울,곡
谷,골,곡
困 ,곤할,곤
坤,땅,곤
骨 ,뼈,골
工 ,만들,공
空 ,빌,공
功 ,공적,공
共 ,함께,공
公 ,공평할,공
孔 ,구멍,공
攻 ,칠,공
供,이바지할,공
恐,두려울,공
貢,바칠,공
恭,공손할,공
科 ,과목,과
果 ,열매,과
過 ,지날,과
課 ,과정,과
寡,적을,과
誇,자랑할,과
郭,둘레,곽
關 ,관계할,관
觀 ,볼,관
官 ,벼슬,관
管 ,대롱/주관할,관
冠,갓,관
寬,너그러울,관
慣,익숙할,관
貫,꿸,관
館,집,관
光 ,빛,광
廣 ,넓을,광
鑛 ,쇳돌,광
狂,미칠,광
掛,걸,괘
壞,무너질,괴
怪,괴이할,괴
塊,흙덩이,괴
