character,meaning,sound
家 ,집,가
歌 ,노래,가
價 ,값,가
可 ,옳을,가
加 ,더할,가
角 ,뿔,각
各 ,각각,각
間 ,사이,간
感 ,느낄,감
江 ,강,강
強 ,강할,강
開 ,열,개
改 ,고칠,개
客 ,손,객
擧 ,들,거
去 ,갈,거
車 ,수레,거/차
建 ,세울,건
健 ,굳셀,건
件 ,물건,건
格 ,격식,격
見 ,볼/뵈올,견/현
決 ,결단할,결
結 ,맺을,결
京 ,서울,경
景 ,볕,경
敬 ,공경할,경
輕 ,가벼울,경
競 ,다툴,경
計 ,셀,계
界 ,지경,계
古 ,예,고
高 ,높을,고
苦 ,쓸,고
考 ,생각,고
告 ,고할,고
固 ,굳을,고
曲 ,굽을/가락,곡
工 ,만들,공
空 ,빌,공
功 ,공적,공
共 ,함께,공
公 ,공평할,공
科 ,과목,과
果 ,열매,과
過 ,지날,과
課 ,과정,과
關 ,관계할,관
觀 ,볼,관
光 ,빛,광
廣 ,넓을,광
校,학교,교
敎,가르칠,교
交 ,사귈,교
橋 ,다리,교
九,아홉,구
口 ,입,구
球 ,공,구
區 ,구분할,구
救 ,구원할,구
舊 ,예,구
具 ,갖출,구
國,나라,국
局 ,판,국
軍,군사,군
郡 ,고을,군
貴 ,귀할,귀
規 ,법,규
根 ,뿌리,근
近 ,가까울,근
今 ,이제,금
金,쇠/성씨,금/김
級 ,등급,급
急 ,급할,급
給 ,줄,급
記 ,기록할,기
氣 ,기운,기
旗 ,기,기
期 ,기약할,기
己 ,몸,기
技 ,재주,기
基 ,터,기
汽 ,김,기
吉 ,길할,길
南,남녘,남
男 ,사내,남
內 ,안,내
女 ,여자,녀
年 ,해,년
念 ,생각,념
農 ,농사,농
能 ,능할,능
多 ,많을,다
短 ,짧을,단
團 ,둥글,단
壇 ,단,단
談 ,말씀,담
答 ,답할,답
堂 ,집,당
當 ,마땅,당
大 ,큰,대
對 ,대할,대
代 ,세대/대신할,대
待 ,기다릴,대
宅 ,집,댁/택
德 ,덕,덕
道 ,길,도
圖 ,그림,도
都 ,도읍,도
島 ,섬,도
到 ,이를,도
度 ,"법도,정도/헤아릴",도/탁
獨 ,홀로,독
讀 ,읽을/구절,독/두
東 ,동녘,동
冬 ,겨울,동
動 ,움직일,동
同 ,한가지,동
童 ,아이,동
洞 ,마을/밝을,동/통
頭 ,머리,두
登 ,오를,등
等 ,무리/같을,등
落 ,떨어질,락
樂 ,즐길/음악/좋아할,락/악/요
朗 ,밝을,랑
來 ,올,래
冷 ,찰,랭
良 ,어질,량
量 ,헤아릴,량
旅 ,나그네,려
力 ,힘,력
歷 ,지낼,력
練 ,익힐,련
領 ,거느릴,령
令 ,명령할/좋을,령
禮 ,예도,례
例 ,법식,례
老 ,늙을,로
路 ,길,로
勞 ,일할,로
綠 ,푸를,록
料 ,재료/헤아릴,료
流 ,흐를,류
類 ,무리,류
六 ,여섯,륙
陸 ,뭍,륙
里 ,마을,리
李 ,오얏,리
理 ,다스릴,리
利 ,이로울,리
林 ,수풀,림
立 ,설,립
馬 ,말,마
萬 ,일만,만
末 ,끝,말
望 ,바랄,망
亡 ,망할,망
每 ,매양,매
賣 ,팔,매
買 ,살,매
面 ,낯,면
名 ,이름,명
命 ,목숨,명
明 ,밝을,명
母 ,어미,모
木 ,나무,목
目 ,눈,목
無 ,없을,무
門 ,문,문
文 ,글월,문
問 ,물을,문
聞 ,들을,문
物 ,물건,물
美 ,아름다울,미
米 ,쌀,미
民 ,백성,민
朴 ,성씨/순박할,박
