character,meaning,sound
怒 ,성낼,노
努 ,힘쓸,노
農 ,농사,농
能 ,능할,능
多 ,많을,다
短 ,짧을,단
團 ,둥글,단
壇 ,단,단
端 ,끝,단
檀 ,박달나무,단
斷 ,끊을,단
單 ,홑,단
段 ,층계,단
達 ,통달할,달
談 ,말씀,담
擔 ,멜,담
答 ,답할,답
堂 ,집,당
當 ,마땅,당
黨 ,무리,당
大 ,큰,대
對 ,대할,대
代 ,세대/대신할,대
待 ,기다릴,대
帶 ,띠,대
隊 ,무리,대
宅 ,집,댁/택
德 ,덕,덕
道 ,길,도
圖 ,그림,도
都 ,도읍,도
島 ,섬,도
到 ,이를,도
導 ,인도할,도
徒 ,무리,도
盜 ,도둑,도
逃 ,달아날,도
度 ,"법도,정도/헤아릴",도/탁
獨 ,홀로,독
督 ,감독할,독
毒 ,독,독
讀 ,읽을/구절,독/두
東 ,동녘,동
冬 ,겨울,동
動 ,움직일,동
同 ,한가지,동
童 ,아이,동
銅 ,구리,동
洞 ,마을/밝을,동/통
頭 ,머리,두
豆 ,콩,두
斗 ,말,두
得 ,얻을,득
登 ,오를,등
等 ,무리/같을,등
燈 ,등잔,등
羅 ,벌일/그물,라
落 ,떨어질,락
樂 ,즐길/음악/좋아할,락/악/요
卵 ,알,란
亂 ,어지러울,란
覽 ,볼,람
朗 ,밝을,랑
來 ,올,래
冷 ,찰,랭
略 ,책략/간략할,략
良 ,어질,량
量 ,헤아릴,량
兩 ,두,량
糧 ,양식,량
旅 ,나그네,려
麗 ,고울,려
慮 ,생각할,려
力 ,힘,력
歷 ,지낼,력
練 ,익힐,련
連 ,잇닿을,련
列 ,줄,렬
烈 ,매울,렬
領 ,거느릴,령
令 ,명령할/좋을,령
禮 ,예도,례
例 ,법식,례
老 ,늙을,로
路 ,길,로
勞 ,일할,로
綠 ,푸를,록
錄 ,기록할,록
論 ,논할,론
料 ,재료/헤아릴,료
龍 ,용,룡
流 ,흐를,류
類 ,무리,류
留 ,머무를,류
柳 ,버들,류
六 ,여섯,륙
陸 ,뭍,륙
輪 ,바퀴,륜
律 ,법,률
里 ,마을,리
李 ,오얏,리
理 ,다스릴,리
利 ,이로울,리
離 ,떠날,리
林 ,수풀,림
立 ,설,립
馬 ,말,마
萬 ,일만,만
滿 ,찰,만
末 ,끝,말
望 ,바랄,망
亡 ,망할,망
每 ,매양,매
賣 ,팔,매
買 ,살,매
妹 ,손아래누이,매
脈 ,줄기,맥
面 ,낯,면
勉 ,힘쓸,면
名 ,이름,명
命 ,목숨,명
明 ,밝을,명
鳴 ,울,명
母 ,어미,모
毛 ,털,모
模 ,본뜰,모
木 ,나무,목
目 ,눈,목
牧 ,칠,목
妙 ,묘할,묘
墓 ,무덤,묘
無 ,없을,무
武 ,무인,무
務 ,힘쓸,무
舞 ,춤출,무
門 ,문,문
文 ,글월,문
問 ,물을,문
聞 ,들을,문
物 ,물건,물
美 ,아름다울,미
米 ,쌀,미
未 ,아닐,미
味 ,맛,미
民 ,백성,민
密 ,빽빽할,밀
朴 ,성씨/순박할,박
博 ,넓을,박
拍 ,칠,박
班 ,나눌,반
反 ,돌이킬,반
半 ,반,반
發 ,필,발
髮 ,터럭,발
方 ,모,방
放 ,놓을,방
防 ,막을,방
房 ,방,방
訪 ,찾을,방
妨 ,방해할,방
倍 ,곱,배
配 ,짝/나눌,배
背 ,등/배반할,배
拜 ,절,배
白 ,흰,백
百 ,일백,백
番 ,차례,번
罰 ,벌할,벌
伐 ,칠,벌
範 ,법,범
犯 ,범할,범
法 ,법,법
壁 ,벽,벽
變 ,변할,변
邊 ,가,변
辯 ,말씀,변
別 ,다를,별
病 ,병,병
兵 ,병사,병
保 ,지킬,보
報 ,갚을/알릴,보
寶 ,보배,보
步 ,걸음,보
普 ,넓을,보
服 ,옷,복
福 ,복,복
伏 ,엎드릴,복
複 ,겹칠,복
復 ,돌아올/다시,복/부
本 ,근본,본
奉 ,받들,봉
父 ,아비,부
夫 ,남편,부
部 ,떼,부
婦 ,아내,부
富 ,부유할,부
副 ,버금,부
府 ,관청,부
負 ,질,부
否 ,아닐,부
北 ,북녘/달아날,북/배
分 ,나눌,분
粉 ,가루,분
憤 ,분할,분
佛 ,부처,불
不 ,아닐,불/부
鼻 ,코,비
費 ,쓸,비
比 ,견줄,비
備 ,갖출,비
非 ,아닐,비
悲 ,슬플,비
飛 ,날,비
碑 ,비석,비
祕 ,숨길,비
批 ,비평할,비
貧 ,가난할,빈
氷 ,얼음,빙
四 ,넉,사
事 ,일,사
死 ,죽을,사
使 ,하여금/부릴,사
社 ,모일,사
思 ,생각,사
士 ,선비,사
寫 ,베낄,사
史 ,역사,사
仕 ,섬길,사
査 ,조사할,사
師 ,스승,사
謝 ,사례할,사
舍 ,집,사
絲 ,실,사
射 ,쏠,사
私 ,사사로울,사
辭 ,말씀,사
寺 ,절/내관,사/시
山 ,뫼,산
算 ,셈,산
産 ,낳을,산
散 ,흩을,산
殺 ,죽일/빠를,살/쇄
三 ,석,삼
上 ,위,상
相 ,서로,상
商 ,장사,상
賞 ,상줄,상
想 ,생각,상
床 ,상,상
常 ,항상,상
象 ,코끼리/모양,상
傷 ,상할,상
狀 ,형상/문서,상/장
色 ,빛,색
生 ,날,생
西 ,서녘,서
書 ,글,서
序 ,차례,서
夕 ,저녁,석
石 ,돌,석
席 ,자리,석
先 ,먼저,선
線 ,줄,선
船 ,배,선
善 ,착할,선
鮮 ,고울/물고기,선
仙 ,신선,선
選 ,가릴,선
宣 ,베풀,선
雪 ,눈,설
設 ,베풀,설
舌 ,혀,설
說 ,말씀/달랠/기쁠,설/세/열
姓 ,성씨,성
成 ,이룰,성
性 ,성품,성
聖 ,신성할,성
城 ,재,성
星 ,별,성
聲 ,소리,성
盛 ,성할,성
誠 ,정성,성
省 ,살필/덜,성/생
世 ,누리,세
歲 ,해,세
洗 ,씻을,세
稅 ,세금,세
勢 ,형세,세
細 ,가늘,세
小 ,작을,소
所 ,바,소
少 ,적을,소
消 ,사라질,소
掃 ,쓸,소
笑 ,웃을,소
素 ,흴/바탕,소
速 ,빠를,속
束 ,묶을,속
續 ,이을,속
俗 ,풍속,속
屬 ,무리,속
孫 ,손자,손
損 ,덜,손
送 ,보낼,송
松 ,소나무,송
頌 ,기릴,송
水 ,물,수
手 ,손,수
樹 ,나무,수
首 ,머리,수
收 ,거둘,수
修 ,닦을,수
授 ,줄,수
受 ,받을,수
守 ,지킬,수
秀 ,빼어날,수
數 ,셈/자주,수/삭
肅 ,엄숙할,숙
叔 ,아저씨,숙
宿 ,잘/별자리,숙/수
順 ,순할,순
純 ,순수할,순
術 ,재주,술
崇 ,받들,숭
習 ,익힐,습
勝 ,이길,승
承 ,이을,승
市 ,시장,시
時 ,때,시
始 ,비로소,시
示 ,보일,시
視 ,볼,시
是 ,옳을/이,시
施 ,베풀,시
詩 ,시,시
試 ,시험할,시
植 ,심을,식
式 ,법,식
息 ,쉴,식
食 ,밥/먹일,식/사
識 ,알/표할,식/지
新 ,새,신
信 ,믿을,신
身 ,몸,신
神 ,귀신,신
臣 ,신하,신
申 ,아홉째지지/거듭/고할,신
室 ,집,실
失 ,잃을,실
實 ,열매,실
心 ,마음,심
深 ,깊을,심
十 ,열,십
氏 ,성씨,씨
兒 ,아이,아
惡 ,악할/미워할,악/오
安 ,편안할,안
案 ,책상,안
眼 ,눈,안
暗 ,어두울,암
壓 ,억누를,압
愛 ,사랑,애
液 ,진,액
額 ,이마,액
野 ,들,야
夜 ,밤,야
藥 ,약,약
弱 ,약할,약
約 ,맺을,약
洋 ,큰바다,양
陽 ,볕,양
養 ,기를,양
羊 ,양,양
樣 ,모양,양
語 ,말씀,어
漁 ,고기잡을,어
魚 ,물고기,어
億 ,억,억
言 ,말씀,언
嚴 ,엄할,엄
業 ,일,업
如 ,같을,여
餘 ,남을,여
與 ,더불/줄,여
逆 ,거스를,역
域 ,지경,역
易 ,바꿀/쉬울,역/이
然 ,그러할,연
煙 ,연기,연
硏 ,갈,연
演 ,펼,연
延 ,늘일,연
燃 ,불탈,연
鉛 ,납,연
緣 ,인연,연
熱 ,더울,열
葉 ,잎,엽
永 ,길,영
英 ,꽃부리,영
榮 ,꽃,영
營 ,경영할,영
映 ,비칠,영
迎 ,맞을,영
藝 ,재주,예
豫 ,미리,예
五 ,다섯,오
午 ,낮,오
誤 ,그르칠,오
屋 ,집,옥
玉 ,구슬,옥
溫 ,따뜻할,온
完 ,완전할,완
王 ,임금,왕
往 ,갈,왕
外 ,바깥,외
曜 ,빛날,요
要 ,요긴할,요
謠 ,노래,요
浴 ,목욕할,욕
用 ,쓸,용
勇 ,날랠,용
容 ,용서할/얼굴,용
右 ,오른,우
雨 ,비,우
友 ,벗,우
牛 ,소,우
郵 ,우편,우
遇 ,만날,우
優 ,넉넉할,우
運 ,옮길/운,운
雲 ,구름,운
雄 ,수컷,웅
遠 ,멀,원
園 ,동산,원
院 ,집,원
願 ,원할,원
原 ,근원,원
元 ,으뜸,원
員 ,인원,원
圓 ,둥글,원
源 ,근원,원
援 ,도울,원
怨 ,원망할,원
月 ,달,월
位 ,자리,위
偉 ,클,위
爲 ,할,위
衛 ,지킬,위
委 ,맡길,위
危 ,위태할,위
圍 ,에워쌀,위
威 ,위엄,위
慰 ,위로할,위
有 ,있을,유
由 ,말미암을,유
油 ,기름,유
乳 ,젖,유
儒 ,선비,유
遺 ,남길,유
遊 ,놀,유
育 ,기를,육
肉 ,고기,육
銀 ,은,은
恩 ,은혜,은
隱 ,숨을,은
飮 ,마실,음
音 ,소리,음
陰 ,그늘,음
邑 ,고을,읍
應 ,응할,응
意 ,뜻,의
醫 ,의원,의
衣 ,옷,의
義 ,옳을,의
議 ,의논할,의
疑 ,의심할,의
依 ,의지할,의
儀 ,모양,의
二 ,두,이
以 ,써,이
耳 ,귀,이
移 ,옮길,이
異 ,다를,이
益 ,더할,익
人 ,사람,인
因 ,인할,인
認 ,알,인
引 ,끌,인
印 ,도장,인
仁 ,어질,인
日 ,해,일
一 ,한,일
任 ,맡길,임
入 ,들,입
字 ,글자,자
自 ,스스로,자
子 ,아들,자
者 ,놈,자
資 ,재물,자
姿 ,모양,자
姉 ,윗누이,자
昨 ,어제,작
作 ,지을,작
殘 ,잔인할/남을,잔
雜 ,섞일,잡
長 ,길,장
場 ,마당,장
章 ,글,장
障 ,막을,장
將 ,장수,장
張 ,베풀,장
裝 ,꾸밀,장
腸 ,창자,장
帳 ,장막,장
奬 ,권장할,장
壯 ,장할,장
才 ,재주,재
在 ,있을,재
災 ,재앙,재
材 ,재목,재
再 ,다시/두,재
財 ,재물,재
爭 ,다툴,쟁
貯 ,쌓을,저
低 ,낮을,저
底 ,밑,저
赤 ,붉을,적
的 ,과녁,적
敵 ,적,적
適 ,맞을,적
績 ,길쌈할/공적,적
賊 ,도둑,적
籍 ,문서,적
積 ,쌓을,적
電 ,번개,전
前 ,앞,전
全 ,온전할,전
戰 ,싸울,전
展 ,펼,전
傳 ,전할,전
典 ,법,전
田 ,밭,전
轉 ,구를,전
專 ,오로지,전
錢 ,돈,전
節 ,마디,절
絶 ,끊을,절
折 ,꺾을,절
切 ,끊을/온통,절/체
店 ,가게,점
點 ,점,점
占 ,점거할/점칠,점
接 ,이을,접
正 ,바를,정
庭 ,뜰,정
定 ,정할,정
情 ,뜻,정
停 ,머물,정
政 ,정사,정
精 ,정할,정
程 ,헤아릴,정
丁 ,넷째천간/고무래,정
整 ,가지런할,정
靜 ,고요할,정
弟 ,아우,제
第 ,차례,제
題 ,제목,제
濟 ,건널,제
際 ,즈음,제
制 ,절제할,제
除 ,덜,제
製 ,지을,제
提 ,끌,제
祭 ,제사,제
帝 ,임금,제
祖 ,할아버지,조
朝 ,아침,조
調 ,고를,조
操 ,잡을,조
助 ,도울,조
造 ,지을,조
早 ,이를,조
鳥 ,새,조
組 ,짤,조
條 ,가지,조
潮 ,밀물,조
足 ,발/족할,족
族 ,겨레,족
尊 ,높을,존
存 ,있을,존
卒 ,마칠,졸
終 ,마칠,종
種 ,씨,종
宗 ,마루/조상,종
鍾 ,쇠북,종
從 ,좇을,종
左 ,왼,좌
座 ,자리,좌
罪 ,허물,죄
住 ,살,주
主 ,주인,주
注 ,부을,주
晝 ,낮,주
週 ,돌,주
州 ,고을,주
走 ,달릴,주
酒 ,술,주
朱 ,붉을,주
周 ,두루,주
竹 ,대나무,죽
準 ,준할,준
中 ,가운데,중
重 ,무거울,중
衆 ,무리,중
增 ,더할,증
證 ,증명할,증
紙 ,종이,지
地 ,땅,지
止 ,그칠,지
知 ,알,지
指 ,가리킬/손가락,지
志 ,뜻,지
支 ,지탱할,지
至 ,이를,지
智 ,지혜,지
誌 ,기록할,지
持 ,가질,지
直 ,곧을,직
職 ,벼슬,직
織 ,짤,직
眞 ,참,진
進 ,나아갈,진
珍 ,보배,진
陣 ,진칠,진
盡 ,다할,진
質 ,바탕,질
集 ,모을,집
次 ,버금,차
差 ,다를/어긋날,차/치
着 ,붙을,착
讚 ,기릴,찬
察 ,살필,찰
參 ,참여할/석,참/삼
窓 ,창문,창
唱 ,부를,창
創 ,비롯할,창
採 ,캘,채
責 ,꾸짖을,책
冊 ,책,책
處 ,곳,처
千 ,일천,천
川 ,내,천
天 ,하늘,천
泉 ,샘,천
鐵 ,쇠,철
靑 ,푸를,청
淸 ,맑을,청
請 ,청할,청
聽 ,들을,청
廳 ,관청,청
體 ,몸,체
草 ,풀,초
初 ,처음,초
招 ,부를,초
寸 ,마디,촌
村 ,마을,촌
銃 ,총,총
總 ,다,총
最 ,가장,최
秋 ,가을,추
推 ,밀,추/퇴
祝 ,빌,축
蓄 ,모을,축
築 ,쌓을/악기,축
縮 ,줄일,축
春 ,봄,춘
出 ,날,출
充 ,채울,충
蟲 ,벌레,충
忠 ,충성,충
取 ,취할,취
就 ,나아갈,취
趣 ,뜻,취
測 ,헤아릴,측
層 ,층,층
致 ,이를,치
齒 ,이,치
置 ,둘,치
治 ,다스릴,치
則 ,법/곧,칙/즉
親 ,친할,친
七 ,일곱,칠
侵 ,넘을,침
針 ,바늘,침
寢 ,잘,침
稱 ,일컬을,칭
快 ,쾌할,쾌
他 ,남,타
打 ,칠,타
卓 ,책상/높을,탁
炭 ,숯,탄
彈 ,탄알,탄
歎 ,탄식할,탄
脫 ,벗을,탈
探 ,찾을,탐
太 ,클,태
態 ,모습,태
擇 ,가릴,택
土 ,흙,토
討 ,칠,토
通 ,통할,통
統 ,거느릴,통
痛 ,아플,통
退 ,물러날,퇴
投 ,던질,투
鬪 ,싸울,투
特 ,특별할,특
波 ,물결,파
破 ,깨뜨릴,파
派 ,갈래,파
板 ,널빤지,판
判 ,판단할,판
八 ,여덟,팔
敗 ,질,패
篇 ,책,편
便 ,편할/똥오줌,편/변
平 ,평평할,평
評 ,평할,평
閉 ,닫을,폐
砲 ,대포,포
包 ,쌀,포
胞 ,세포/여드름,포
布 ,펼/보시,포/보
爆 ,터질,폭
暴 ,사나울,폭/포
表 ,겉,표
票 ,표,표
標 ,표할,표
品 ,물건,품
風 ,바람,풍
豊 ,풍년,풍
避 ,피할,피
疲 ,피곤할,피
必 ,반드시,필
筆 ,붓,필
夏 ,여름,하
下 ,아래,하
河 ,물,하
學 ,배울,학
韓 ,나라이름,한
漢 ,한나라,한
寒 ,찰,한
限 ,한계,한
閑 ,한가할,한
恨 ,한,한
合 ,합할,합
航 ,배,항
港 ,항구,항
抗 ,막을,항
海 ,바다,해
害 ,해할,해
解 ,풀,해
核 ,씨,핵
幸 ,다행,행
行 ,다닐/항렬,행/항
向 ,향할,향
香 ,향기,향
鄕 ,시골,향
許 ,허락할,허
虛 ,빌,허
憲 ,법,헌
驗 ,시험할,험
險 ,험할,험
革 ,가죽/고칠,혁
現 ,나타날,현
賢 ,어질,현
顯 ,나타날,현
血 ,피,혈
協 ,화할,협
兄 ,형,형
形 ,모양,형
刑 ,형벌,형
惠 ,은혜,혜
號 ,부르짖을/이름,호
湖 ,호수,호
護 ,지킬,호
好 ,좋을,호
戶 ,문,호
呼 ,부를,호
或 ,혹시,혹
混 ,섞일,혼
婚 ,혼인할,혼
紅 ,붉을,홍
火 ,불,화
話 ,말씀,화
花 ,꽃,화
和 ,화할,화
化 ,될,화
貨 ,재화,화
華 ,빛날,화
畫 ,그림/그을,화/획
確 ,굳을,확
患 ,근심,환
環 ,고리,환
歡 ,기쁠,환
活 ,살,활
黃 ,누를,황
況 ,하물며/상황,황
會 ,모일,회
回 ,돌아올,회
灰 ,재,회
孝 ,효도,효
效 ,본받을,효
後 ,뒤,후
厚 ,두터울,후
候 ,기후,후
訓 ,가르칠,훈
揮 ,휘두를,휘
休 ,쉴,휴
凶 ,흉할,흉
黑 ,검을,흑
吸 ,마실,흡
興 ,일,흥
希 ,바랄,희
喜 ,기쁠,희
