character,meaning,sound
家 ,집,가
歌 ,노래,가
價 ,값,가
可 ,옳을,가
加 ,더할,가
街 ,거리,가
假 ,거짓/빌릴,가
暇 ,겨를,가
角 ,뿔,각
各 ,각각,각
覺 ,깨달을,각
刻 ,새길,각
間 ,사이,간
簡 ,대쪽/간략할,간
看 ,볼,간
干 ,방패/막을,간
感 ,느낄,감
監 ,볼,감
減 ,덜,감
甘 ,달,감
敢 ,감히,감
甲 ,첫째천간/갑옷,갑
江 ,강,강
強 ,강할,강
康 ,편안할,강
講 ,외울,강
降 ,내릴/항복할,강/항
開 ,열,개
改 ,고칠,개
個 ,낱,개
客 ,손,객
更 ,다시/고칠,갱/경
擧 ,들,거
去 ,갈,거
居 ,살,거
巨 ,클,거
據 ,근거,거
拒 ,막을,거
車 ,수레,거/차
建 ,세울,건
健 ,굳셀,건
件 ,물건,건
傑 ,뛰어날,걸
檢 ,검사할,검
儉 ,검소할,검
格 ,격식,격
擊 ,칠,격
激 ,격할,격
犬 ,개,견
堅 ,굳을,견
見 ,볼/뵈올,견/현
決 ,결단할,결
結 ,맺을,결
缺 ,이지러질,결
潔 ,깨끗할,결
京 ,서울,경
景 ,볕,경
敬 ,공경할,경
輕 ,가벼울,경
競 ,다툴,경
警 ,경계할,경
經 ,글/지날,경
境 ,지경,경
慶 ,경사,경
鏡 ,거울,경
傾 ,기울,경
驚 ,놀랄,경
計 ,셀,계
界 ,지경,계
係 ,멜,계
鷄 ,닭,계
系 ,이을,계
階 ,섬돌,계
繼 ,이을,계
季 ,철,계
戒 ,경계할,계
古 ,예,고
高 ,높을,고
苦 ,쓸,고
考 ,생각,고
告 ,고할,고
固 ,굳을,고
故 ,예,고
庫 ,창고,고
孤 ,외로울,고
曲 ,굽을/가락,곡
穀 ,곡식,곡
困 ,곤할,곤
骨 ,뼈,골
工 ,만들,공
空 ,빌,공
功 ,공적,공
共 ,함께,공
公 ,공평할,공
孔 ,구멍,공
攻 ,칠,공
科 ,과목,과
果 ,열매,과
過 ,지날,과
課 ,과정,과
關 ,관계할,관
觀 ,볼,관
官 ,벼슬,관
管 ,대롱/주관할,관
光 ,빛,광
廣 ,넓을,광
鑛 ,쇳돌,광
校,학교,교
敎,가르칠,교
交 ,사귈,교
橋 ,다리,교
九,아홉,구
口 ,입,구
球 ,공,구
區 ,구분할,구
救 ,구원할,구
舊 ,예,구
具 ,갖출,구
究 ,연구할,구
求 ,구할,구
構 ,얽을,구
句 ,글귀,구/귀
國,나라,국
局 ,판,국
軍,군사,군
郡 ,고을,군
君 ,임금,군
群 ,무리,군
屈 ,굽힐,굴
宮 ,집,궁
窮 ,다할,궁
權 ,권리,권
卷 ,책,권
券 ,문서,권
勸 ,권할,권
貴 ,귀할,귀
歸 ,돌아갈,귀
規 ,법,규
均 ,고를,균
極 ,다할,극
劇 ,연극/심할,극
根 ,뿌리,근
近 ,가까울,근
筋 ,힘줄,근
勤 ,부지런할,근
今 ,이제,금
禁 ,금할,금
金,쇠/성씨,금/김
級 ,등급,급
急 ,급할,급
給 ,줄,급
記 ,기록할,기
氣 ,기운,기
旗 ,기,기
期 ,기약할,기
己 ,몸,기
技 ,재주,기
基 ,터,기
汽 ,김,기
器 ,그릇,기
起 ,일어날,기
機 ,틀,기
紀 ,벼리,기
寄 ,부칠,기
奇 ,기이할,기
吉 ,길할,길
難 ,어려울,난
暖 ,따뜻할,난
南,남녘,남
男 ,사내,남
納 ,들일,납
內 ,안,내
女 ,여자,녀
年 ,해,년
念 ,생각,념
