level,character,meaning,sound
5,雄 ,수컷,웅
2,熊,곰,웅
6,遠 ,멀,원
6,園 ,동산,원
5,院 ,집,원
5,願 ,원할,원
5,原 ,근원,원
5,元 ,으뜸,원
4,員 ,인원,원
4,圓 ,둥글,원
4,源 ,근원,원
4,援 ,도울,원
4,怨 ,원망할,원
2,苑,나라동산,원
2,袁,성씨,원
2,瑗,구슬,원
2,媛,여자,원
8,月 ,달,월
3,越,넘을,월
5,位 ,자리,위
5,偉 ,클,위
4,爲 ,할,위
4,衛 ,지킬,위
4,委 ,맡길,위
4,危 ,위태할,위
4,圍 ,에워쌀,위
4,威 ,위엄,위
4,慰 ,위로할,위
3,胃,밥통,위
3,謂,이를,위
3,僞,거짓,위
3,緯,씨,위
3,違,어긋날,위
2,渭,물이름,위
2,尉,벼슬,위
2,魏,나라이름,위
2,韋,가죽,위
7,有 ,있을,유
6,由 ,말미암을,유
6,油 ,기름,유
4,乳 ,젖,유
4,儒 ,선비,유
4,遺 ,남길,유
4,遊 ,놀,유
3,猶,오히려,유
3,幼,어릴,유
3,裕,넉넉할,유
3,柔,부드러울,유
3,維,벼리,유
3,悠,멀,유
3,誘,꾈,유
3,幽,그윽할,유
3,惟,생각할,유
3,愈,나을,유
3,酉,열째 지지/닭,유
3,唯,오직,유
2,庾,곳집,유
2,楡,느릅나무,유
2,踰,넘을,유
2,兪,대답할,유
7,育 ,기를,육
4,肉 ,고기,육
3,潤,윤택할,윤
3,閏,윤달,윤
2,胤,자손,윤
2,鈗,병기,윤
2,尹,성씨,윤
2,允,맏,윤
2,融,녹을,융
6,銀 ,은,은
4,恩 ,은혜,은
4,隱 ,숨을,은
2,垠,지경,은
2,誾,온화할,은
2,殷,성할/은나라,은
3,乙,둘째 천간/새,을
6,飮 ,마실,음
6,音 ,소리,음
4,陰 ,그늘,음
3,淫,음란할,음
3,吟,읊을,음
7,邑 ,고을,읍
3,泣,울,읍
4,應 ,응할,응
3,凝,엉길,응
2,鷹,매,응
6,意 ,뜻,의
6,醫 ,의원,의
6,衣 ,옷,의
4,義 ,옳을,의
4,議 ,의논할,의
4,疑 ,의심할,의
4,依 ,의지할,의
4,儀 ,모양,의
3,宜,마땅할,의
3,矣,어조사,의
8,二 ,두,이
5,以 ,써,이
5,耳 ,귀,이
4,移 ,옮길,이
4,異 ,다를,이
3,已,이미,이
3,而,말 이을,이
3,夷,오랑캐,이
2,珥,귀고리,이
2,怡,기쁠,이
2,伊,저,이
2,貳,두,이
4,益 ,더할,익
3,翼,날개,익
2,翊,도울,익
8,人 ,사람,인
5,因 ,인할,인
4,認 ,알,인
4,引 ,끌,인
4,印 ,도장,인
4,仁 ,어질,인
3,忍,참을,인
3,寅,셋째 지지/범,인
3,姻,혼인,인
2,刃,칼날,인
8,日 ,해,일
8,一 ,한,일
3,逸,편안할,일
2,佾,춤,일
2,鎰,무게이름,일
2,壹,한,일
5,任 ,맡길,임
3,壬,아홉번째 천간/북방,임
3,賃,품삯,임
2,妊,아이밸,임
7,入 ,들,입
7,字 ,글자,자
7,自 ,스스로,자
7,子 ,아들,자
6,者 ,놈,자
4,資 ,재물,자
4,姿 ,모양,자
4,姉 ,윗누이,자
3,慈,사랑,자
3,紫,자줏빛,자
3,玆,이,자
3,恣,마음대로,자
2,諮,물을,자
2,雌,암컷,자
2,滋,불을,자
2,磁,자석,자
3,刺,찌를,자/척
6,昨 ,어제,작
6,作 ,지을,작
3,酌,술부을,작
3,爵,벼슬,작
4,殘 ,잔인할/남을,잔
3,潛,잠길,잠
3,暫,잠깐,잠
2,蠶,누에,잠
4,雜 ,섞일,잡
8,長 ,길,장
7,場 ,마당,장
6,章 ,글,장
4,障 ,막을,장
4,將 ,장수,장
4,張 ,베풀,장
4,裝 ,꾸밀,장
4,腸 ,창자,장
4,帳 ,장막,장
4,奬 ,권장할,장
4,壯 ,장할,장
3,藏,감출,장
3,掌,손바닥,장
3,臟,오장,장
3,丈,어른/길이,장
3,粧,단장할,장
3,葬,장사지낼,장
3,莊,풀성할,장
3,墻,담,장
2,獐,노루,장
2,庄,농막/씩씩할,장
2,璋,홀,장
2,蔣,성씨,장
6,才 ,재주,재
6,在 ,있을,재
5,災 ,재앙,재
5,材 ,재목,재
5,再 ,다시/두,재
5,財 ,재물,재
3,栽,심을,재
3,載,실을,재
3,裁,마를,재
3,宰,재상,재
3,哉,어조사,재
5,爭 ,다툴,쟁
5,貯 ,쌓을,저
4,低 ,낮을,저
4,底 ,밑,저
3,抵,막을,저
3,著,나타날,저
2,沮,막을,저
5,赤 ,붉을,적
5,的 ,과녁,적
4,敵 ,적,적
4,適 ,맞을,적
4,績 ,길쌈할/공적,적
4,賊 ,도둑,적
4,籍 ,문서,적
4,積 ,쌓을,적
3,摘,딸,적
3,寂,고요할,적
3,蹟,자취,적
3,跡,발자취,적
3,笛,피리,적
3,滴,물방울,적
7,電 ,번개,전
7,前 ,앞,전
7,全 ,온전할,전
6,戰 ,싸울,전
5,展 ,펼,전
5,傳 ,전할,전
5,典 ,법,전
4,田 ,밭,전
4,轉 ,구를,전
4,專 ,오로지,전
4,錢 ,돈,전
3,殿,전각,전
2,甸,경기,전
5,節 ,마디,절
4,絶 ,끊을,절
4,折 ,꺾을,절
3,竊,훔칠,절
5,切 ,끊을/온통,절/체
5,店 ,가게,점
4,點 ,점,점
4,占 ,점거할/점칠,점
3,漸,점점,점
4,接 ,이을,접
3,蝶,나비,접
7,正 ,바를,정
6,庭 ,뜰,정
6,定 ,정할,정
5,情 ,뜻,정
5,停 ,머물,정
4,政 ,정사,정
4,精 ,정할,정
4,程 ,헤아릴,정
4,丁 ,넷째천간/고무래,정
4,整 ,가지런할,정
4,靜 ,고요할,정
3,廷,조정,정
3,淨,깨끗할,정
3,貞,곧을,정
3,頂,정수리,정
3,亭,정자,정
3,井,우물,정
3,征,칠,정
3,訂,바로잡을,정
2,汀,물가,정
2,呈,드릴,정
2,楨,광나무,정
2,鄭,나라이름,정
2,珽,옥이름,정
2,旌,기,정
2,晶,맑을,정
2,艇,배,정
2,鼎,솥,정
2,偵,염탐할,정
2,禎,상서,정
8,弟 ,아우,제
6,第 ,차례,제
6,題 ,제목,제
4,濟 ,건널,제
4,際 ,즈음,제
4,制 ,절제할,제
4,除 ,덜,제
4,製 ,지을,제
4,提 ,끌,제
4,祭 ,제사,제
4,帝 ,임금,제
3,諸,모두,제
3,齊,가지런할,제
3,堤,둑,제
2,劑,약제,제
7,祖 ,할아버지,조
6,朝 ,아침,조
5,調 ,고를,조
5,操 ,잡을,조
4,助 ,도울,조
4,造 ,지을,조
4,早 ,이를,조
4,鳥 ,새,조
4,組 ,짤,조
4,條 ,가지,조
4,潮 ,밀물,조
3,兆,조짐/조,조
3,租,조세,조
3,照,비칠,조
3,弔,조상할,조
3,燥,마를,조
2,祚,복,조
2,趙,나라,조
2,彫,새길,조
2,釣,낚시,조
2,措,둘,조
2,曺,성씨,조
7,足 ,발/족할,족
6,族 ,겨레,족
4,尊 ,높을,존
4,存 ,있을,존
5,卒 ,마칠,졸
3,拙,졸렬할,졸
5,終 ,마칠,종
5,種 ,씨,종
4,宗 ,마루/조상,종
4,鍾 ,쇠북,종
4,從 ,좇을,종
3,縱,세로,종
2,綜,모을,종
2,琮,옥홀,종
7,左 ,왼,좌
4,座 ,자리,좌
3,坐,앉을,좌
3,佐,도울,좌
5,罪 ,허물,죄
7,住 ,살,주
7,主 ,주인,주
6,注 ,부을,주
6,晝 ,낮,주
5,週 ,돌,주
5,州 ,고을,주
4,走 ,달릴,주
4,酒 ,술,주
4,朱 ,붉을,주
4,周 ,두루,주
3,柱,기둥,주
3,洲,물가,주
3,珠,구슬,주
3,株,그루,주
3,奏,아뢸/연주할,주
3,鑄,쇠불릴,주
3,宙,집,주
3,舟,배,주
2,疇,이랑,주
2,駐,머무를,주
4,竹 ,대나무,죽
4,準 ,준할,준
3,俊,준걸,준
3,遵,좇을,준
2,晙,밝을,준
2,駿,준마,준
2,准,준할,준
2,濬,깊을,준
2,峻,높을,준
2,埈,높을,준
2,浚,깊게할,준
8,中 ,가운데,중
7,重 ,무거울,중
4,衆 ,무리,중
3,仲,버금,중
3,卽,곧,즉
4,增 ,더할,증
4,證 ,증명할,증
3,憎,미울,증
3,曾,일찍,증
3,症,증세,증
3,蒸,찔,증
3,贈,줄,증
7,紙 ,종이,지
7,地 ,땅,지
5,止 ,그칠,지
5,知 ,알,지
4,指 ,가리킬/손가락,지
4,志 ,뜻,지
4,支 ,지탱할,지
4,至 ,이를,지
4,智 ,지혜,지
4,誌 ,기록할,지
4,持 ,가질,지
3,池,못,지
3,之,갈,지
3,枝,가지,지
3,遲,더딜,지
3,只,다만,지
2,芝,지초,지
2,址,터,지
2,脂,기름,지
2,旨,뜻,지
7,直 ,곧을,직
4,職 ,벼슬,직
4,織 ,짤,직
2,稷,피,직
2,稙,올벼,직
4,眞 ,참,진
4,進 ,나아갈,진
4,珍 ,보배,진
4,陣 ,진칠,진
4,盡 ,다할,진
3,鎭,진압할,진
3,振,떨칠,진
3,震,우레,진
3,陳,베풀,진
3,辰,다섯째지지/별,진
2,秦,성씨/나라이름,진
2,晋,나아갈/진나라,진
2,診,진찰할,진
2,塵,티끌,진
2,津,나루/진액,진
5,質 ,바탕,질
3,疾,병,질
3,秩,차례,질
3,姪,조카,질
2,窒,막힐,질
6,集 ,모을,집
3,執,잡을,집
2,輯,모을,집
3,徵,부를,징
3,懲,징계할,징
4,次 ,버금,차
3,此,이,차
3,借,빌릴,차
3,且,또,차
2,遮,가릴,차
4,差 ,다를/어긋날,차/치
5,着 ,붙을,착
3,錯,어긋날,착
3,捉,잡을,착
4,讚 ,기릴,찬
3,贊,도울,찬
2,鑽,뚫을,찬
2,璨,옥빛,찬
2,燦,빛날,찬
2,瓚,옥잔,찬
2,餐,밥,찬
4,察 ,살필,찰
2,刹,절,찰
2,札,편지/뽑을,찰
3,慘,참혹할,참
3,慙,부끄러워할,참
2,斬,벨,참
5,參 ,참여할/석,참/삼
6,窓 ,창문,창
5,唱 ,부를,창
4,創 ,비롯할,창
3,昌,창성할,창
3,倉,곳집,창
3,蒼,푸를,창
3,暢,화창할,창
2,敞,시원할,창
2,昶,해 길,창
2,滄,큰바다,창
2,彰,밝을,창
4,採 ,캘,채
