level,character,meaning,sound
8,校,학교,교
8,敎,가르칠,교
8,九,아홉,구
8,國,나라,국
8,軍,군사,군
8,金,쇠/성씨,금/김
8,南,남녘,남
8,女 ,여자,녀
8,年 ,해,년
8,大 ,큰,대
8,東 ,동녘,동
8,六 ,여섯,륙
8,萬 ,일만,만
8,母 ,어미,모
8,木 ,나무,목
8,門 ,문,문
8,民 ,백성,민
8,白 ,흰,백
8,父 ,아비,부
8,北 ,북녘/달아날,북/배
8,四 ,넉,사
8,山 ,뫼,산
8,三 ,석,삼
8,生 ,날,생
8,西 ,서녘,서
8,先 ,먼저,선
8,小 ,작을,소
8,水 ,물,수
8,室 ,집,실
8,十 ,열,십
8,五 ,다섯,오
8,王 ,임금,왕
8,外 ,바깥,외
8,月 ,달,월
8,二 ,두,이
8,人 ,사람,인
8,日 ,해,일
8,一 ,한,일
8,長 ,길,장
8,弟 ,아우,제
8,中 ,가운데,중
8,靑 ,푸를,청
8,寸 ,마디,촌
8,七 ,일곱,칠
8,土 ,흙,토
8,八 ,여덟,팔
8,學 ,배울,학
8,韓 ,나라이름,한
8,兄 ,형,형
8,火 ,불,화
